date,close
2021-03-22,25.741
2021-03-23,25.2
2021-03-24,25.201
2021-03-25,25.022
2021-03-26,25.092
2021-03-29,24.747
2021-03-30,24.121
2021-03-31,24.517
2021-04-01,24.935
2021-04-05,24.763
2021-04-06,25.212
2021-04-07,25.233
2021-04-08,25.569
2021-04-09,25.311
2021-04-12,24.853
2021-04-13,25.417
2021-04-14,25.515
2021-04-15,25.956
2021-04-16,26.099
2021-04-19,25.831
2021-04-20,25.835
2021-04-21,26.565
2021-04-22,26.174
2021-04-23,26.077
2021-04-26,26.211
2021-04-27,26.412
2021-04-28,26.081
2021-04-29,26.053
2021-04-30,25.853
2021-05-03,26.943
2021-05-04,26.539
2021-05-05,26.502
2021-05-06,27.462
2021-05-07,27.462
2021-05-10,27.479
2021-05-11,27.657
2021-05-12,27.231
2021-05-13,27.044
2021-05-14,27.353
2021-05-17,28.26
2021-05-18,28.314
2021-05-19,28.008
2021-05-20,28.052
2021-05-21,27.473
2021-05-24,27.887
2021-05-25,28.037
2021-05-26,27.853
2021-05-27,27.919
2021-05-28,27.993
2021-06-01,28.083
2021-06-02,28.186
2021-06-03,27.46
2021-06-04,27.879
2021-06-07,28.001
2021-06-08,27.715
2021-06-09,27.985
2021-06-10,28.015
2021-06-11,28.131
2021-06-14,28.024
2021-06-15,27.679
2021-06-16,27.8
2021-06-17,25.844
2021-06-18,25.958
2021-06-21,26.015
2021-06-22,25.848
2021-06-23,26.108
2021-06-24,26.047
2021-06-25,26.082
2021-06-28,26.218
2021-06-29,25.872
2021-06-30,26.165
2021-07-01,26.075
2021-07-02,26.481
2021-07-06,26.154
2021-07-07,26.11
2021-07-08,25.967
2021-07-09,26.211
2021-07-12,26.217
2021-07-13,26.115
2021-07-14,26.246
2021-07-15,26.375
2021-07-16,25.777
2021-07-19,25.126
2021-07-20,24.977
2021-07-21,25.238
2021-07-22,25.365
2021-07-23,25.218
2021-07-26,25.295
2021-07-27,24.632
2021-07-28,24.856
2021-07-29,25.764
2021-07-30,25.528
2021-08-02,25.557
2021-08-03,25.566
2021-08-04,25.446
2021-08-05,25.277
2021-08-06,24.312
2021-08-09,23.255
2021-08-10,23.377
2021-08-11,23.474
2021-08-12,23.105
2021-08-13,23.768
2021-08-16,23.78
2021-08-17,23.648
2021-08-18,23.412
2021-08-19,23.22
2021-08-20,23.105
2021-08-23,23.649
2021-08-24,23.89
2021-08-25,23.771
2021-08-26,23.546
2021-08-27,24.06
2021-08-30,23.96
2021-08-31,23.96
2021-09-01,24.177
2021-09-02,23.875
2021-09-03,24.762
2021-09-07,24.334
2021-09-08,24.012
2021-09-09,24.133
2021-09-10,23.855
2021-09-13,23.753
2021-09-14,23.842
2021-09-15,23.759
2021-09-16,22.752
2021-09-17,22.295
2021-09-20,22.163
2021-09-21,22.573
2021-09-22,22.869
2021-09-23,22.642
2021-09-24,22.388
2021-09-27,22.657
2021-09-28,22.43
2021-09-29,21.459
2021-09-30,22.021
2021-10-01,22.51
2021-10-04,22.618
2021-10-05,22.582
2021-10-06,22.506
2021-10-07,22.632
2021-10-08,22.679
2021-10-11,22.64
2021-10-12,22.491
2021-10-13,23.149
2021-10-14,23.456
2021-10-15,23.328
2021-10-18,23.243
2021-10-19,23.862
2021-10-20,24.424
2021-10-21,24.15
2021-10-22,24.429
2021-10-25,24.572
2021-10-26,24.086
2021-10-27,24.189
2021-10-28,24.117
2021-10-29,23.945
2021-11-01,24.064
2021-11-02,23.5
2021-11-03,23.226
2021-11-04,23.906
2021-11-05,24.152
2021-11-08,24.537
2021-11-09,24.313
2021-11-10,24.767
2021-11-11,25.301
2021-11-12,25.344
2021-11-15,25.107
2021-11-16,24.944
2021-11-17,25.167
2021-11-18,24.901
2021-11-19,24.78
2021-11-22,24.297
2021-11-23,23.435
2021-11-24,23.496
2021-11-26,23.107
2021-11-29,22.799
2021-11-30,22.765
2021-12-01,22.299
2021-12-02,22.28
2021-12-03,22.445
2021-12-06,22.228
2021-12-07,22.487
2021-12-08,22.39
2021-12-09,21.974
2021-12-10,22.16
2021-12-13,22.29
2021-12-14,21.887
2021-12-15,21.508
2021-12-16,22.455
2021-12-17,22.507
2021-12-20,22.275
2021-12-21,22.502
2021-12-22,22.792
2021-12-23,22.931
2021-12-27,22.979
2021-12-28,23.111
2021-12-29,22.848
2021-12-30,23.028
2021-12-31,23.328
2022-01-03,22.79
2022-01-04,23.038
2022-01-05,23.15
2022-01-06,22.174
2022-01-07,22.394
2022-01-10,22.446
2022-01-11,22.806
2022-01-12,23.2
2022-01-13,23.155
2022-01-14,22.911
2022-01-18,23.487
2022-01-19,24.226
2022-01-20,24.711
2022-01-21,24.314
2022-01-24,23.795
2022-01-25,23.896
2022-01-26,23.807
2022-01-27,22.673
2022-01-28,22.302
2022-01-31,22.395
2022-02-01,22.596
2022-02-02,22.711
2022-02-03,22.375
2022-02-04,22.475
2022-02-07,23.076
2022-02-08,23.195
2022-02-09,23.336
2022-02-10,23.519
2022-02-11,23.366
2022-02-14,23.845
2022-02-15,23.338
2022-02-16,23.601
2022-02-17,23.874
2022-02-18,23.991
2022-02-22,24.311
2022-02-23,24.555
2022-02-24,24.686
2022-02-25,23.997
2022-02-28,24.361
2022-03-01,25.534
2022-03-02,25.183
2022-03-03,25.205
2022-03-04,25.782
2022-03-07,25.713
2022-03-08,26.888
2022-03-09,25.757
2022-03-10,26.202
2022-03-11,26.106
2022-03-14,25.244
2022-03-15,25.123
2022-03-16,24.67
2022-03-17,25.584
2022-03-18,25.055
2022-03-21,25.282
